City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,gamba,-2.65,10.0,25.13,91,100,1.85,GA,1681686667
309,porto santo,33.072,-16.3415,17.21,77,40,5.14,PT,1681686701
310,marion,39.7684,-86.1555,8.35,76,100,12.35,US,1681686408
311,bordighera,43.7806,7.6645,16.16,60,22,2.43,IT,1681686702
312,wajima,37.4,136.9,8.69,67,100,4.36,JP,1681686702
313,raudeberg,61.9875,5.1352,4.98,75,83,0.48,NO,1681686702
314,ola,59.5833,151.2833,1.19,80,88,3.64,RU,1681686647
315,ambilobe,-13.2,49.05,22.24,94,8,1.45,MG,1681686703
316,namatanai,-3.6667,152.4333,27.29,75,96,1.67,PG,1681686703
317,odweyne,9.4092,45.064,25.18,53,33,1.64,SO,1681686703
318,ko samui,9.5357,99.9357,28.92,70,70,2.46,TH,1681686410
319,kaniama,-7.5667,24.1833,19.15,98,100,1.78,CD,1681686704
320,pisco,-13.7,-76.2167,25.03,69,99,11.32,PE,1681686177
321,bilibino,68.0546,166.4372,-10.49,56,83,1.06,RU,1681686324
322,harlingen,26.1906,-97.6961,25.11,65,0,8.75,US,1681686580
323,nadym,65.5333,72.5167,-22.58,86,43,6.53,RU,1681686404
324,batagay-alyta,67.8006,130.4114,-9.23,92,96,0.97,RU,1681686707
325,general roca,-39.0333,-67.5833,15.35,41,1,2.04,AR,1681686707
326,karratha,-20.7377,116.8463,20.59,35,1,5.39,AU,1681686384
327,komsomolskiy,40.4272,71.7189,17.4,39,75,3.09,UZ,1681686707
328,khor,47.8861,134.9464,2.14,58,100,5.99,RU,1681686708
329,aksarka,66.5606,67.7975,-27.29,100,22,1.72,RU,1681686708
330,colac,-38.3333,143.5833,12.69,76,61,3.84,AU,1681686709
331,makat,47.6469,53.3463,5.06,51,0,3.08,KZ,1681686709
332,yeniseysk,58.4497,92.1703,-10.5,94,99,1.71,RU,1681686709
333,hamilton,39.1834,-84.5333,11.15,66,75,7.72,US,1681686198
334,cururupu,-1.8283,-44.8683,23.81,96,69,1.07,BR,1681686538
335,warmbad,-28.45,18.7333,21.67,18,0,4.06,NA,1681686710
336,yerbogachen,61.2767,108.0108,-15.84,93,31,1.77,RU,1681686472
337,tongchuan,35.0806,109.0897,17.03,56,81,0.65,CN,1681686710
338,waipawa,-41.4122,175.5153,15.64,67,100,5.17,NZ,1681686558
339,lola,7.8,-8.5333,24.01,79,99,1.53,GN,1681686711
340,vestmannaeyjar,63.4427,-20.2734,8.67,97,100,11.32,IS,1681686711
341,reconquista,-29.15,-59.65,19.23,78,70,2.54,AR,1681686156
342,port moresby,-9.4431,147.1797,26.55,75,100,0.61,PG,1681686711
343,miaray,7.5747,125.0444,23.86,87,84,1.14,PH,1681686711
344,nizhniy tsasuchey,50.5167,115.1333,-0.41,39,88,5.11,RU,1681686712
345,mims,28.6653,-80.8448,27.32,77,40,2.57,US,1681686712
346,riviere-au-renard,48.9957,-64.3971,2.26,87,87,5.22,CA,1681686712
347,bundaberg,-24.85,152.35,27.9,73,43,1.89,AU,1681686712
348,finschhafen,-6.6024,147.8681,27.95,71,74,1.96,PG,1681686712
349,synya,65.3718,58.0387,-1.78,98,100,1.74,RU,1681686713
350,moose factory,51.2585,-80.6094,0.81,97,100,4.16,CA,1681686713
351,yaransk,57.3033,47.8861,2.94,69,98,1.38,RU,1681686713
352,ostrovnoy,68.0531,39.5131,-6.16,91,5,4.53,RU,1681686713
353,kambove,-10.8764,26.5969,15.59,97,75,2.69,CD,1681686714
354,ojinaga,29.5667,-104.4167,28.53,24,0,6.17,MX,1681686568
355,dubbo,-32.25,148.6167,13.07,76,0,5.66,AU,1681686400
356,aklavik,68.2191,-135.0107,-11.37,91,100,7.17,CA,1681686714
357,eyl,7.9803,49.8164,27.18,74,56,4.43,SO,1681686356
358,kristiansund,63.1115,7.732,6.36,70,84,2.06,NO,1681686715
359,biltine,14.5333,20.9167,31.79,14,79,5.5,TD,1681686715
360,saint george,37.1041,-113.5841,26.64,14,0,5.66,US,1681686715
361,qasigiannguit,68.8193,-51.1922,-3.86,98,29,2.36,GL,1681686716
362,codrington,-38.2667,141.9667,14.59,81,29,5.98,AU,1681686492
363,anchorage,61.2181,-149.9003,8.85,48,0,2.24,US,1681686465
